MIMIC III ITEMID,MIMIC III LABEL,MIMIC III FLUID,MIMIC III CATEGORY,MIMIC III LOINC CODE,MIMIC II LOINC CODE,MIMIC II LOINC DESCRIPTION,MIMIC II ITEMID,COMMENTS
51351,LYMPHS,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,26479-6,Lymphocytes/100 leukocytes in Cerebral spinal fluid,50516,
50959,MACRO PROLACTIN,BLOOD,CHEMISTRY,,,,50691,
51246,MACROCYTES,BLOOD,HEMATOLOGY,738-5,30424-6,Macrocytes [Presence] in Blood,50409,
51247,MACROOVALOCYTES,BLOOD,HEMATOLOGY,10376-2,10376-2,Oval macrocytes [Presence] in Blood by Light microscopy,50410,
51117,MACROPHAGE,ASCITES,HEMATOLOGY,,40517-5,Macrophages/100 leukocytes in Peritoneal fluid by Manual count,50304,
51352,MACROPHAGE,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,30426-1,Macrophages/100 leukocytes in Cerebral spinal fluid,50517,
51376,MACROPHAGE,JOINT FLUID,HEMATOLOGY,,33376-5,Macrophages/100 leukocytes in Synovial fluid,50538,
51428,MACROPHAGE,OTHER BODY FLUID,HEMATOLOGY,,12230-9,Macrophages/100 leukocytes in Body fluid by Manual count,50588,
51447,MACROPHAGES,PLEURAL,HEMATOLOGY,,40520-9,Macrophages/100 leukocytes in Pleural fluid by Manual count,50606,
50960,MAGNESIUM,BLOOD,CHEMISTRY,2601-3,19123-9,Magnesium [Mass/volume] in Serum or Plasma,50140,
51037,"MAGNESIUM, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,29365-4,Magnesium [Mass/volume] in Body fluid,50220,
51088,"MAGNESIUM, URINE",URINE,CHEMISTRY,2598-1,19124-7,Magnesium [Mass/volume] in Urine,50270,
51089,MARIJUANA,URINE,CHEMISTRY,,3427-2,Cannabinoids [Presence] in Urine,50294,
51248,MCH,BLOOD,HEMATOLOGY,785-6,28539-5,Erythrocyte mean corpuscular hemoglobin [Entitic mass],50411,
51249,MCHC,BLOOD,HEMATOLOGY,786-4,28540-3,Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume],50412,
51250,MCV,BLOOD,HEMATOLOGY,787-2,30428-7,Erythrocyte mean corpuscular volume [Entitic volume],50413,
51118,MESOTHELIAL CELL,ASCITES,HEMATOLOGY,,30432-9,Mesothelial cells/100 leukocytes in Peritoneal fluid,50305,
51353,MESOTHELIAL CELLS,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,30429-5,Mesothelial cells/100 leukocytes in Cerebral spinal fluid,50518,
51377,MESOTHELIAL CELLS,JOINT FLUID,HEMATOLOGY,,33365-8,Mesothelial cells/100 leukocytes in Synovial fluid,50539,
51429,MESOTHELIAL CELLS,OTHER BODY FLUID,HEMATOLOGY,,28544-5,Mesothelial cells/100 leukocytes in Body fluid,50589,
51448,MESOTHELIAL CELLS,PLEURAL,HEMATOLOGY,,30431-1,Mesothelial cells/100 leukocytes in Pleural fluid,50607,
51119,METAMYELOCYTES,ASCITES,HEMATOLOGY,,,,50306,
51251,METAMYELOCYTES,BLOOD,HEMATOLOGY,,28541-1,Metamyelocytes/100 leukocytes in Blood,50414,
51354,METAMYELOCYTES,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,30366-9,Metamyelocytes/100 leukocytes in Cerebral spinal fluid,50519,
51378,METAMYELOCYTES,JOINT FLUID,HEMATOLOGY,,,,50540,
51430,METAMYELOCYTES,OTHER BODY FLUID,HEMATOLOGY,,17801-2,Metamyelocytes/100 leukocytes in Body fluid,50590,
51449,METAMYELOCYTES,PLEURAL,HEMATOLOGY,,,,50608,
51090,"METHADONE, URINE",URINE,CHEMISTRY,,3773-9,Methadone [Presence] in Urine,50295,
50814,METHEMOGLOBIN,BLOOD,BLOOD GAS,,2614-6,Methemoglobin/Hemoglobin.total in Blood,50011,
50961,METHOTREXATE,BLOOD,CHEMISTRY,,,,50698,
51252,MICROCYTES,BLOOD,HEMATOLOGY,741-9,30434-5,Microcytes [Presence] in Blood,50415,
50845,"MISCELLANEOUS, ASCITES",ASCITES,CHEMISTRY,,,,50046,
51038,"MISCELLANEOUS, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,,,50221,
51016,"MISCELLANEOUS, CSF",CEREBROSPINAL FLUID (CSF),CHEMISTRY,,,,50203,
51056,"MISCELLANEOUS, PLEURAL",PLEURAL,CHEMISTRY,,,,50242,
51253,MONOCYTE COUNT,BLOOD,HEMATOLOGY,,26484-6,Monocytes [#/volume] in Blood,50416,
51120,MONOCYTES,ASCITES,HEMATOLOGY,,26488-7,Monocytes/100 leukocytes in Peritoneal fluid,50307,
51254,MONOCYTES,BLOOD,HEMATOLOGY,742-7,26485-3,Monocytes/100 leukocytes in Blood,50417,
51355,MONOCYTES,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,26486-1,Monocytes/100 leukocytes in Cerebral spinal fluid,50520,
51379,MONOCYTES,JOINT FLUID,HEMATOLOGY,,17835-0,Monocytes/100 leukocytes in Synovial fluid,50541,
51431,MONOS,OTHER BODY FLUID,HEMATOLOGY,,10330-9,Monocytes/100 leukocytes in Body fluid by Manual count,50591,
51450,MONOS,PLEURAL,HEMATOLOGY,,33362-5,Monocytes/100 leukocytes in Pleural fluid,50609,
51527,MS-DIA,BLOOD,CHEMISTRY,,,,50688,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51121,MYELOCYTES,ASCITES,HEMATOLOGY,,,,50308,
51255,MYELOCYTES,BLOOD,HEMATOLOGY,,26498-6,Myelocytes/100 leukocytes in Blood,50418,
51356,MYELOCYTES,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,30447-7,Myelocytes/100 leukocytes in Cerebral spinal fluid,50521,
51432,MYELOCYTES,OTHER BODY FLUID,HEMATOLOGY,,17800-4,Myelocytes/100 leukocytes in Body fluid,50592,
51451,MYELOCYTES,PLEURAL,HEMATOLOGY,,,,50610,
51534,MYELOS,JOINT FLUID,HEMATOLOGY,,,,50723,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51091,"MYOGLOBIN, URINE",URINE,CHEMISTRY,,2640-1,Myoglobin [Presence] in Urine,50271,
50962,N-ACETYLPROCAINAMIDE (NAPA),BLOOD,CHEMISTRY,3834-9,3834-9,N-acetylprocainamide [Mass/volume] in Serum or Plasma,50142,
51256,NEUTROPHILS,BLOOD,HEMATOLOGY,761-7,26505-8,Neutrophils.segmented/100 leukocytes in Blood,50419,
51487,NITRITE,URINE,HEMATOLOGY,5802-4,5802-4,Nitrite [Presence] in Urine by Test strip,50650,
51488,NON-SQUAMOUS EPITHELIAL CELLS,URINE,HEMATOLOGY,,41284-1,Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field,50651,
51489,NONSQUAMOUS EPITHELIAL CELL,URINE,HEMATOLOGY,,41284-1,Epithelial cells.non-squamous [#/area] in Urine sediment by Microscopy high power field,50652,
51357,NRBC,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,48778-5,Nucleated Erythrocytes/100 cells in Cerebral spinal fluid,50522,
51380,NRBC,JOINT FLUID,HEMATOLOGY,,48040-0,Nucleated Erythrocytes/100 leukocytes [Ratio] in Synovial fluid by Manual count,50542,
51433,NRBC,OTHER BODY FLUID,HEMATOLOGY,,,,50593,
51452,NRBC,PLEURAL,HEMATOLOGY,,,,50611,
50963,NTPROBNP,BLOOD,CHEMISTRY,,33762-6,Natriuretic peptide.B prohormone [Mass/volume] in Serum or Plasma,50195,
51122,NUCLEATED RBC,ASCITES,HEMATOLOGY,,,,50309,
51257,NUCLEATED RED CELLS,BLOOD,HEMATOLOGY,772-4,26461-4,Nucleated Erythrocytes/100 erythrocytes in Blood,50420,
50815,O2 FLOW,BLOOD,BLOOD GAS,,3151-8,Inhaled oxygen flow rate,50014,
51092,"OPIATE SCREEN, URINE",URINE,CHEMISTRY,,3879-4,Opiates [Presence] in Urine,50296,
50846,"OSMOLALITY, ASCITES",ASCITES,CHEMISTRY,,2691-4,Osmolality of Peritoneal fluid,50047,
51039,"OSMOLALITY, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,15200-9,Osmolality of Body fluid,50222,
50964,"OSMOLALITY, MEASURED",BLOOD,CHEMISTRY,,2692-2,Osmolality of Serum or Plasma,50144,
51063,"OSMOLALITY, STOOL",STOOL,CHEMISTRY,,2693-0,Osmolality of Stool,50250,
51093,"OSMOLALITY, URINE",URINE,CHEMISTRY,,2695-5,Osmolality of Urine,50272,
51258,OSMOTIC FRAGILITY,BLOOD,HEMATOLOGY,,34964-7,Osmotic fragility [interpretation] of Red Blood Cells,50421,
51123,OTHER,ASCITES,HEMATOLOGY,,,,50310,
51358,OTHER,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,,,50523,
51381,OTHER,JOINT FLUID,HEMATOLOGY,,,,50544,
51453,OTHER,PLEURAL,HEMATOLOGY,,,,50612,
51434,OTHER CELL,OTHER BODY FLUID,HEMATOLOGY,,,,50594,
51259,OTHER CELLS,BLOOD,HEMATOLOGY,729-4,,,50422,
51490,OVAL FAT BODY,URINE,HEMATOLOGY,,,,50735,
51260,OVALOCYTES,BLOOD,HEMATOLOGY,774-0,774-0,Ovalocytes [Presence] in Blood by Light microscopy,50423,
50816,OXYGEN,BLOOD,BLOOD GAS,,19994-3,Oxygen/Inspired gas setting [Volume Fraction] Ventilator,50013,
50817,OXYGEN SATURATION,BLOOD,BLOOD GAS,,20564-1,Oxygen saturation in Blood,50015,
51261,PAPPENHEIMER BODIES,BLOOD,HEMATOLOGY,7795-8,7795-8,Pappenheimer bodies [Presence] in Blood by Light microscopy,50424,
50965,PARATHYROID HORMONE,BLOOD,CHEMISTRY,2731-8,2731-8,Parathyrin.intact [Mass/volume] in Serum or Plasma,50154,
50818,PCO2,BLOOD,BLOOD GAS,,11557-6,Carbon dioxide [Partial pressure] in Blood,50016,
50830,"PCO2, BODY FLUID",OTHER BODY FLUID,BLOOD GAS,,2023-0,Carbon dioxide [Partial pressure] in Body fluid,50034,
50819,PEEP,BLOOD,BLOOD GAS,,20077-4,Positive end expiratory pressure setting Ventilator,50017,
51262,PENCIL CELLS,BLOOD,HEMATOLOGY,10377-0,10377-0,Pencil cells [Presence] in Blood by Light microscopy,50426,
51017,"PEP, CSF",CEREBROSPINAL FLUID (CSF),CHEMISTRY,,24352-7,Protein electrophoresis panel in Cerebral spinal fluid,50200,
51522,PG,OTHER BODY FLUID,CHEMISTRY,,48785-0,Prostaglandin D2 [Mass/volume] in Body fluid,50223,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
50820,PH,BLOOD,BLOOD GAS,,11558-4,pH of Blood,50018,
50831,PH,OTHER BODY FLUID,BLOOD GAS,,2748-2,pH of Body fluid,50035,
51094,PH,URINE,CHEMISTRY,,2756-5,pH of Urine,50297,
51491,PH,URINE,HEMATOLOGY,5803-2,2756-5,pH of Urine,50653,
50966,PHENOBARBITAL,BLOOD,CHEMISTRY,3947-9,3948-7,Phenobarbital [Mass/volume] in Serum or Plasma,50146,
50967,PHENYTOIN,BLOOD,CHEMISTRY,3967-7,3968-5,Phenytoin [Mass/volume] in Serum or Plasma,50147,
50968,"PHENYTOIN, FREE",BLOOD,CHEMISTRY,3969-3,3969-3,Phenytoin Free [Mass/volume] in Serum or Plasma,50194,
50969,"PHENYTOIN, PERCENT FREE",BLOOD,CHEMISTRY,,10548-6,Phenytoin Free/Phenytoin.total in Serum or Plasma,50055,
50970,PHOSPHATE,BLOOD,CHEMISTRY,2777-1,2777-1,Phosphate [Mass/volume] in Serum or Plasma,50148,
51040,"PHOSPHATE, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,12242-4,Phosphate [Mass/volume] in Body fluid,50224,
51095,"PHOSPHATE, URINE",URINE,CHEMISTRY,2778-9,2778-9,Phosphate [Mass/volume] in Urine,50273,
51124,PLASMA,ASCITES,HEMATOLOGY,,40518-3,Plasma cells/100 leukocytes in Peritoneal fluid by Manual count,50311,
51359,PLASMA,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,47413-0,Plasma cells/100 leukocytes in Cerebral spinal fluid,50524,
51435,PLASMA,OTHER BODY FLUID,HEMATOLOGY,,17803-8,Plasma cells/100 leukocytes in Body fluid,50595,
51263,PLASMA CELLS,BLOOD,HEMATOLOGY,,13047-6,Plasma cells/100 leukocytes in Blood,50427,
51454,PLASMA CELLS,PLEURAL,HEMATOLOGY,,40522-5,Plasma cells/100 leukocytes in Pleural fluid by Manual count,50613,
51532,PLASMGN,BLOOD,HEMATOLOGY,,,,50711,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51264,PLATELET CLUMPS,BLOOD,HEMATOLOGY,,40741-1,Platelet clump [Presence] in Blood by Automated count,50430,
51265,PLATELET COUNT,BLOOD,HEMATOLOGY,777-3,26515-7,Platelets [#/volume] in Blood,50428,
51266,PLATELET SMEAR,BLOOD,HEMATOLOGY,778-1,9317-9,Platelets [Presence] in Blood by Manual count,50429,
50821,PO2,BLOOD,BLOOD GAS,,11556-8,Oxygen [Partial pressure] in Blood,50019,
50832,"PO2, BODY FLUID",OTHER BODY FLUID,BLOOD GAS,,2706-0,Oxygen [Partial pressure] in Body fluid,50036,
51267,POIKILOCYTOSIS,BLOOD,HEMATOLOGY,779-9,779-9,Poikilocytosis [Presence] in Blood by Light microscopy,50431,
51268,POLYCHROMASIA,BLOOD,HEMATOLOGY,10378-8,10378-8,Polychromasia [Presence] in Blood by Light microscopy,50432,
51125,POLYS,ASCITES,HEMATOLOGY,,26520-7,Polymorphonuclear cells/100 leukocytes in Peritoneal fluid,50312,
51360,POLYS,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,26517-3,Polymorphonuclear cells/100 leukocytes in Cerebral spinal fluid,50525,
51382,POLYS,JOINT FLUID,HEMATOLOGY,,26522-3,Polymorphonuclear cells/100 leukocytes in Synovial fluid,50545,
51436,POLYS,OTHER BODY FLUID,HEMATOLOGY,,26518-1,Polymorphonuclear cells/100 leukocytes in Body fluid,50596,
51455,POLYS,PLEURAL,HEMATOLOGY,,26519-9,Polymorphonuclear cells/100 leukocytes in Pleural fluid,50614,
51096,PORPHOBILINOGEN SCREEN,URINE,CHEMISTRY,,2809-2,Porphobilinogen [Presence] in Urine,50274,
50971,POTASSIUM,BLOOD,CHEMISTRY,2823-3,2823-3,Potassium [Moles/volume] in Serum or Plasma,50149,
50833,POTASSIUM,OTHER BODY FLUID,BLOOD GAS,,2821-7,Potassium [Moles/volume] in Body fluid,50032,
50847,"POTASSIUM, ASCITES",ASCITES,CHEMISTRY,,49789-1,Potassium [Moles/volume] in Peritoneal fluid,50048,
51041,"POTASSIUM, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,2821-7,Potassium [Moles/volume] in Body fluid,50225,
51057,"POTASSIUM, PLEURAL",PLEURAL,CHEMISTRY,,,,50243,
51064,"POTASSIUM, STOOL",STOOL,CHEMISTRY,,15202-5,Potassium [Moles/volume] in Stool,50251,
51097,"POTASSIUM, URINE",URINE,CHEMISTRY,2828-2,2828-2,Potassium [Moles/volume] in Urine,50275,
50822,"POTASSIUM, WHOLE BLOOD",BLOOD,BLOOD GAS,,6298-4,Potassium [Moles/volume] in Blood,50009,
51540,PROBLEM SPECIMEN,BLOOD,CHEMISTRY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51541,PROBLEM SPECIMEN,BLOOD,HEMATOLOGY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
51542,PROBLEM SPECIMEN,URINE,HEMATOLOGY,,,,,This data originally existed in the 2013 data dump but was deleted before creation of this table. Re-importing the original 2013 lab data dump will restore the rows
50972,PROCAINAMIDE,BLOOD,CHEMISTRY,3982-6,3982-6,Procainamide [Mass/volume] in Serum or Plasma,50151,
50973,PROLACTIN,BLOOD,CHEMISTRY,2842-3,2842-3,Prolactin [Mass/volume] in Serum or Plasma,50152,
51126,PROMYELOCYTES,ASCITES,HEMATOLOGY,,,,50704,
51269,PROMYELOCYTES,BLOOD,HEMATOLOGY,781-5,26524-9,Promyelocytes/100 leukocytes in Blood,50434,
51361,PROMYELOCYTES,CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,,,50722,
51437,PROMYELOCYTES,OTHER BODY FLUID,HEMATOLOGY,,17799-8,Promyelocytes/100 leukocytes in Body fluid,50597,
51456,PROMYELOCYTES,PLEURAL,HEMATOLOGY,,,,50615,
50974,PROSTATE SPECIFIC ANTIGEN,BLOOD,CHEMISTRY,2857-1,2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma,50153,
51098,"PROT. ELECTROPHORESIS, URINE",URINE,CHEMISTRY,,13438-7,Protein Fractions [interpretation] in Urine by Electrophoresis,50280,
51492,PROTEIN,URINE,HEMATOLOGY,5804-0,5804-0,Protein [Mass/volume] in Urine by Test strip,50655,
51270,"PROTEIN C, ANTIGEN",BLOOD,HEMATOLOGY,,27820-0,Protein C Ag actual/normal in Platelet poor plasma by Immunologic method,50435,
51271,"PROTEIN C, FUNCTIONAL",BLOOD,HEMATOLOGY,,27818-4,Protein C actual/normal in Platelet poor plasma by Chromogenic method,50436,
50975,PROTEIN ELECTROPHORESIS,BLOOD,CHEMISTRY,,24351-9,Protein electrophoresis panel in Serum or Plasma,50145,
51272,"PROTEIN S, ANTIGEN",BLOOD,HEMATOLOGY,,27823-4,Protein S Ag actual/normal in Platelet poor plasma by Immunologic method,50437,
51273,"PROTEIN S, FUNCTIONAL",BLOOD,HEMATOLOGY,,31102-7,Protein S actual/normal in Platelet poor plasma by Chromogenic method,50438,
50976,"PROTEIN, TOTAL",BLOOD,CHEMISTRY,2885-2,2885-2,Protein [Mass/volume] in Serum or Plasma,50171,
51099,PROTEIN/CREATININE RATIO,URINE,CHEMISTRY,2890-2,2890-2,Protein/Creatinine [Mass ratio] in Urine,50276,
51274,PT,BLOOD,HEMATOLOGY,5902-2,5964-2,Prothrombin time (PT) in Blood by Coagulation assay,50439,
51275,PTT,BLOOD,HEMATOLOGY,5898-2,3173-2,Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay,50440,
51276,QUANTITATIVE G6PD,BLOOD,HEMATOLOGY,,32546-4,Glucose-6-Phosphate dehydrogenase [Enzymatic activity/mass] in Red Blood Cells,50441,
50977,QUINIDINE,BLOOD,CHEMISTRY,6694-4,4014-7,Quinidine [Mass/volume] in Blood,50156,
50978,RAPAMYCIN,BLOOD,CHEMISTRY,,29247-4,Sirolimus [Mass/volume] in Blood,50196,
51493,RBC,URINE,HEMATOLOGY,5808-1,13945-1,Erythrocytes [#/area] in Urine sediment by Microscopy high power field,50656,
51494,RBC CASTS,URINE,HEMATOLOGY,5807-3,5807-3,RBC casts [#/area] in Urine sediment by Microscopy low power field,50657,
51495,RBC CLUMPS,URINE,HEMATOLOGY,,,,50658,
51127,"RBC, ASCITES",ASCITES,HEMATOLOGY,,26457-2,Erythrocytes [#/volume] in Peritoneal fluid,50313,
51362,"RBC, CSF",CEREBROSPINAL FLUID (CSF),HEMATOLOGY,,26454-9,Erythrocytes [#/volume] in Cerebral spinal fluid,50526,
51383,"RBC, JOINT FLUID",JOINT FLUID,HEMATOLOGY,,26458-0,Erythrocytes [#/volume] in Synovial fluid,50546,
51438,"RBC, OTHER FLUID",OTHER BODY FLUID,HEMATOLOGY,,26455-6,Erythrocytes [#/volume] in Body fluid,50598,
51457,"RBC, PLEURAL",PLEURAL,HEMATOLOGY,,26456-4,Erythrocytes [#/volume] in Pleural fluid,50616,
51277,RDW,BLOOD,HEMATOLOGY,788-0,30385-9,Erythrocyte distribution width [Ratio],50444,
51278,RED BLOOD CELL FRAGMENTS,BLOOD,HEMATOLOGY,,,,50443,
51279,RED BLOOD CELLS,BLOOD,HEMATOLOGY,789-8,26453-1,Erythrocytes [#/volume] in Blood,50442,
50979,RED TOP HOLD,BLOOD,CHEMISTRY,,,,50157,
51496,"REDUCING SUBSTANCES, URINE",URINE,HEMATOLOGY,,,,50660,
51497,RENAL EPITHELIAL CELLS,URINE,HEMATOLOGY,,26052-1,Epithelial cells.renal [#/area] in Urine sediment by Microscopy high power field,50659,
51280,REPTILASE TIME,BLOOD,HEMATOLOGY,,6683-7,Reptilase time in Platelet poor plasma by Coagulation assay,50446,
51281,REPTILASE TIME CONTROL,BLOOD,HEMATOLOGY,,,,50713,
50823,REQUIRED O2,BLOOD,BLOOD GAS,,,,50021,
51282,"RETICULOCYTE COUNT, ABSOLUTE",BLOOD,HEMATOLOGY,,14196-0,Reticulocytes [#/volume] in Red Blood Cells,50321,
51283,"RETICULOCYTE COUNT, AUTOMATED",BLOOD,HEMATOLOGY,,17849-1,Reticulocytes/100 erythrocytes in Red Blood Cells by Automated count,50447,
51284,"RETICULOCYTE COUNT, MANUAL",BLOOD,HEMATOLOGY,,31112-6,Reticulocytes/100 erythrocytes in Red Blood Cells by Manual,50448,
51285,"RETICULOCYTE, CELLULAR HEMOGLOBIN",BLOOD,HEMATOLOGY,,,,50368,
50980,RHEUMATOID FACTOR,BLOOD,CHEMISTRY,6928-6,,,50158,
51286,RISTOCETIN,BLOOD,HEMATOLOGY,,,,50449,
50981,SALICYLATE,BLOOD,CHEMISTRY,4023-8,3306-8,Acetylsalicylate [Mass/volume] in Serum or Plasma,50072,
51287,SCHISTOCYTES,BLOOD,HEMATOLOGY,800-3,800-3,Schistocytes [Presence] in Blood by Light microscopy,50450,
51288,SEDIMENTATION RATE,BLOOD,HEMATOLOGY,4537-7,30341-2,Erythrocyte sedimentation rate,50451,
51289,SERUM VISCOSITY,BLOOD,HEMATOLOGY,3128-6,3128-6,Viscosity of Serum,50452,
50982,SEX HORMONE BINDING GLOBULIN,BLOOD,CHEMISTRY,2942-1,,,,
51290,SICKLE CELL PREPARATION,BLOOD,HEMATOLOGY,,6864-3,Hemoglobin S [Presence] in Blood by Solubility test,50454,"old lab ITEMID is correct, but loinc seems wrong ??"
51291,SICKLE CELLS,BLOOD,HEMATOLOGY,801-1,801-1,Sickle cells [Presence] in Blood by Light microscopy,50453,
50983,SODIUM,BLOOD,CHEMISTRY,2951-2,2951-2,Sodium [Moles/volume] in Serum or Plasma,50159,
50848,"SODIUM, ASCITES",ASCITES,CHEMISTRY,,49790-9,Sodium [Moles/volume] in Peritoneal fluid,50049,
50834,"SODIUM, BODY FLUID",OTHER BODY FLUID,BLOOD GAS,,2950-4,Sodium [Moles/volume] in Body fluid,50033,
51042,"SODIUM, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,2950-4,Sodium [Moles/volume] in Body fluid,50226,
51058,"SODIUM, PLEURAL",PLEURAL,CHEMISTRY,,,,50244,
51065,"SODIUM, STOOL",STOOL,CHEMISTRY,,15207-4,Sodium [Moles/volume] in Stool,50252,
51100,"SODIUM, URINE",URINE,CHEMISTRY,2955-3,2955-3,Sodium [Moles/volume] in Urine,50277,
50824,"SODIUM, WHOLE BLOOD",BLOOD,BLOOD GAS,,2947-0,Sodium [Moles/volume] in Blood,50012,
51498,SPECIFIC GRAVITY,URINE,HEMATOLOGY,5811-5,5811-5,Specific gravity of Urine by Test strip,50661,
50800,SPECIMEN TYPE,BLOOD,BLOOD GAS,,,,50026,Not in v30 but will be next data dump
51499,SPERM,URINE,HEMATOLOGY,,8248-7,Spermatozoa [Presence] in Urine sediment by Light microscopy,50662,
51292,SPHEROCYTES,BLOOD,HEMATOLOGY,802-9,802-9,Spherocytes [Presence] in Blood by Light microscopy,50455,
50984,STAT,BLOOD,CHEMISTRY,,,,,"No ITEMID in mimic2v26, but exists in 2010 lab data dump"
51528,STDY HOLD,BLOOD,CHEMISTRY,,,,50695,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51531,STDYURINE,URINE,CHEMISTRY,,,,50703,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
50985,STUDY TUBES,BLOOD,CHEMISTRY,,,,,
51293,SUGAR WATER TEST,BLOOD,HEMATOLOGY,,12260-6,Sucrose hemolysis [Presence] of Red Blood Cells,50457,
51500,SULFONAMIDES,URINE,HEMATOLOGY,,5812-3,Sulfonamide crystals [Presence] in Urine sediment by Light microscopy,50663,
51555,SURFACTANT ALBUMIN RATIO,OTHER BODY FLUID,CHEMISTRY,,,,,"This data was not found in the 2013 data dump, so an itemid with a descriptive name was created"
50986,TACROFK,BLOOD,CHEMISTRY,,11253-2,Tacrolimus [Mass/volume] in Blood,50102,"Duplicate v26 ITEMID exists (50699), contains same type of data"
51539,TACROFK_2,BLOOD,CHEMISTRY,,,,50699,"There are two ITEMIDs in mimic2v26 which represent TACROFK, but only one in the 2013 lab data dump, so this ITEMID/LABEL was created"
51294,TARGET CELLS,BLOOD,HEMATOLOGY,10381-2,10381-2,Target cells [Presence] in Blood by Light microscopy,50458,
51295,TDT,BLOOD,HEMATOLOGY,,,,50714,
51537,TDT,OTHER BODY FLUID,HEMATOLOGY,,,,50730,"No match found in 01_2013 lab data dump, exists in mimic2v26, therefore the new LABEL was invented and an itemid was generated"
51296,TEARDROP CELLS,BLOOD,HEMATOLOGY,7791-7,7791-7,Dacrocytes [Presence] in Blood by Light microscopy,50459,
50825,TEMPERATURE,BLOOD,BLOOD GAS,,,,50023,
50988,TESTOSTERONE,BLOOD,CHEMISTRY,2993-4,2986-8,Testosterone [Mass/volume] in Serum or Plasma,50165,
50989,"TESTOSTERONE, FREE",BLOOD,CHEMISTRY,2991-8,2991-8,Testosterone Free [Mass/volume] in Serum or Plasma,50105,
50990,THEOPHYLLINE,BLOOD,CHEMISTRY,4049-3,4049-3,Theophylline [Mass/volume] in Serum or Plasma,50166,
51297,THROMBIN,BLOOD,HEMATOLOGY,,3243-3,Thrombin time in Platelet poor plasma by Coagulation assay,50460,
50991,THYROGLOBULIN,BLOOD,CHEMISTRY,3013-0,3013-0,Thyroglobulin [Mass/volume] in Serum or Plasma,50167,
50992,THYROID PEROXIDASE ANTIBODIES,BLOOD,CHEMISTRY,,8099-4,Thyroperoxidase Ab [Units/volume] in Serum,50071,
50993,THYROID STIMULATING HORMONE,BLOOD,CHEMISTRY,3016-3,3015-5,Thyrotropin [Units/volume] in Blood,50175,
50994,THYROXINE (T4),BLOOD,CHEMISTRY,3026-2,3025-4,Thyroxine [Mass/volume] in Blood,50163,
50995,"THYROXINE (T4), FREE",BLOOD,CHEMISTRY,3024-7,3024-7,Thyroxine free [Mass/volume] in Serum or Plasma,50104,
50826,TIDAL VOLUME,BLOOD,BLOOD GAS,,20112-9,Tidal volume setting Ventilator,50024,
50996,"TISSUE TRANSGLUTAMINASE AB, IGA",BLOOD,CHEMISTRY,,31017-7,Tissue transglutaminase IgA Ab [Units/volume] in Serum,50197,
50997,TOBRAMYCIN,BLOOD,CHEMISTRY,4058-4,35670-9,Tobramycin [Mass/volume] in Serum or Plasma,50169,
51101,TOTAL COLLECTION TIME,URINE,CHEMISTRY,,13362-9,Collection duration of Urine,50256,
50849,"TOTAL PROTEIN, ASCITES",ASCITES,CHEMISTRY,,2883-7,Protein [Mass/volume] in Peritoneal fluid,50051,
51043,"TOTAL PROTEIN, BODY FLUID",OTHER BODY FLUID,CHEMISTRY,,2881-1,Protein [Mass/volume] in Body fluid,50229,
51018,"TOTAL PROTEIN, CSF",CEREBROSPINAL FLUID (CSF),CHEMISTRY,,2880-3,Protein [Mass/volume] in Cerebral spinal fluid,50204,
